排名,球员,球队,场次,得分,二分,三分,罚球,篮板,前篮板,后篮板,助攻,抢断,扣篮,盖帽,失误,犯规,效率
291,高森堡,天津,2,1.0,0.5-1.5,0.0-1.0,0.0-0.5,1.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.50
292,马泳,八一,2,1.0,0.5-0.5,0.0-0.5,0.0-0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.5,1.00
293,陆文博,浙江,8,0.9,0.4-0.5,0.0-0.4,0.1-0.5,0.6,0.4,0.3,0.1,0.5,0.0,0.0,0.0,0.8,1.25
294,万圣伟,广东,8,0.8,0.4-0.6,0.0-0.0,0.0-0.3,1.1,0.4,0.8,0.1,0.4,0.0,0.1,0.8,2.6,1.25
295,张涵钧,山西,6,0.7,0.2-0.5,0.0-0.7,0.3-0.3,0.3,0.0,0.3,0.8,0.2,0.0,0.0,0.5,0.7,0.50
296,刘大鹏,山东,3,0.7,0.0-1.0,0.0-1.7,0.7-0.7,1.3,1.0,0.3,1.0,1.0,0.0,0.0,0.3,1.7,1.00
297,张旭,八一,3,0.7,0.0-0.7,0.0-0.0,0.7-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,-0.67
298,王仔路,浙江,9,0.6,0.2-0.3,0.0-0.0,0.1-0.2,0.1,0.0,0.1,0.2,0.1,0.0,0.0,0.6,0.9,0.22
299,韩驭丰,深圳,6,0.3,0.2-0.7,0.0-0.8,0.0-0.2,1.0,0.5,0.5,0.5,0.2,0.0,0.0,0.3,0.0,0.17
300,赵旭昕,江苏,4,0.3,0.0-0.3,0.0-0.0,0.3-0.5,0.5,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.5,0.25
301,徐铭智,福建,5,0.2,0.0-0.4,0.0-0.4,0.2-0.4,0.2,0.0,0.2,0.4,0.2,0.0,0.0,0.8,0.6,-0.80
302,杨凯,青岛,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
303,邹雨宸,八一,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
304,张皓嘉,广东,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
305,刘旭乘,广东,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
306,刘剑阁,江苏,1,0.0,0.0-2.0,0.0-1.0,0.0-0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.00
307,张韩,同曦,1,0.0,0.0-1.0,0.0-1.0,0.0-0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.00
