球员,球队,OffensiveRating,DefensiveRating,NetRating,UsagePercent,号码,出场时间,首发,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,得分,Game_ID,2分中,2分投,3分中,3分投,罚球中,罚球投,出场
刘权标,广东,100.40499356291441,111.97886686477807,-11.573873301863657,18.376443875402025,0,108,0,5,4,6,21,8,4,0,0,6,40,58556858004245,9,19,6,21,4,6,13
李英博,广东,96.71003712496281,114.7140952813749,-18.004058156412086,12.765797203323878,493,48,0,6,8,0,23,1,3,2,0,8,11,58556858004245,4,6,0,1,3,10,8
苏伟,广东,96.3601109858848,119.68067213797275,-23.320561152087947,17.98312301685624,348,46,0,10,11,0,14,0,8,0,0,2,15,58556858004245,7,11,0,0,1,1,7
万圣伟,广东,80.01666317570047,113.30214429782896,-33.28548112212849,10.478591871061683,1479,96,0,8,14,2,35,5,11,1,0,6,16,58556858004245,7,10,0,0,2,6,15
方渭博,广东,,120.61085617870752,,42.55265734441293,29,2,0,0,0,0,0,0,2,0,0,0,0,58556858004245,0,0,0,0,0,0,1
刘旭乘,广东,,102.01663328242489,,7.0921095574021535,406,6,0,1,2,0,1,1,0,0,0,1,0,58556858004245,0,0,0,1,0,0,1
张皓嘉,广东,,116.86954108426819,,0.0,650,1,0,0,0,0,1,0,0,0,0,0,0,52499252004198,0,0,0,0,0,0,1
周鹏,广东,,,,,319,0,0,0,0,0,0,0,0,0,0,0,0,58556858004245,0,0,0,0,0,0,0
原帅,山西,129.30614764317752,121.28639929091278,8.019748352264742,15.546160993798173,203,1076,29,10,43,37,49,15,29,1,0,33,460,58556858004237,56,89,103,229,39,44,29
富兰克林,山西,117.56859609685222,113.3209603085418,4.2476357883104185,32.881044902564184,297,1011,26,45,199,260,77,59,101,38,11,285,790,54518454003795,158,277,77,222,243,290,26
M.I.托马斯,山西,112.83592069766077,115.42576447469271,-2.5898437770319447,23.55622069707351,12,89,0,9,30,10,9,2,6,3,7,21,47,6057606000058,15,24,2,8,11,18,3
埃里克-莫兰德,山西,109.60608143777112,112.33917282872821,-2.7330913909570853,23.85963797532306,78,673,2,96,267,48,75,39,59,47,33,103,347,52499252004179,152,246,0,4,43,97,24
